date	deaths	injuries	location	description
1998-05-21T04:00:00.000Z	4	25	Springfield, Oregon	Thurston High School shooting: An expelled student targeted his parents and the school and killed four people and injured twenty-five others before being arrested.
1998-07-05T04:00:00.000Z	5	5	Tacoma, Washington	Trang Dai massacre: Four gunmen entered the Trang Dai Cafe and opened fire, killing five diners and wounding five others.
1999-04-20T04:00:00.000Z	15	24	Columbine, Colorado	Columbine High School massacre: Two students from the school shot and killed twelve classmates and a teacher before committing suicide.
1999-05-20T04:00:00.000Z	0	6	Conyers, Georgia	Heritage High School shooting: A 15-year-old student opened fire and wounded six students before attempting suicide, he was stopped by an assistant principal.
1999-07-02T04:00:00.000Z	3	10	Chicago, Urbana, Springfield, and Decatur, IllinoisBloomington, Indiana	Benjamin Nathaniel Smith shooting spree: Part of the Creativity Movement, the perpetrator killed former Northwestern University basketball coach Ricky Byrdsong and a Korean American Indiana University graduate student Won-Joon Yoon as well as wounding a black minister and nine Orthodox Jews before killing himself.
1999-07-27T04:00:00.000Z	13	13	Stockbridge and Atlanta, Georgia	Day-trading firms shooting: The perpetrator shot and killed his wife and two children, two days before entering two separate Buckhead firms in which he shot fellow traders, killing twelve and wounding thirteen before committing suicide.
1999-08-10T04:00:00.000Z	1	5	Los Angeles, California	Los Angeles Jewish Community Center shooting: Affiliated with the Aryan Nations, the perpetrator killed one and wounded five when entering a Jewish community center.
1999-09-15T04:00:00.000Z	8	7	Fort Worth, Texas	Wedgwood Baptist Church shooting: During a concert in the church for teenagers, the perpetrator entered and shot and killed seven attendees and wounded seven others before committing suicide.
1999-11-02T05:00:00.000Z	7	0	Honolulu, Hawaii	Xerox Murders (1999): A service technician opened fire inside a Xerox building and killed seven people while an eighth escaped, he then held thirty-five school children inside the Hawaii Nature Center before surrendering to police.
2000-04-28T04:00:00.000Z	5	0	Scott Township, Robinson Township, Center Township and Pittsburgh, Pennsylvania	Richard Baumhammers killing spree: A man went on a killing spree and murdered a Jewish woman before setting her house on fire and firing upon a synagogue vandalizing it with swastikas, killed an Indian man who would die from his injuries at a grocery store, shot up another synagogue, killed two at a Chinese restaurant, and an African-American exercising with his White American friend.[137]
2000-05-24T04:00:00.000Z	5	2	New York City, New York	Wendy's Massacre: Two robbers locked seven employees in the restaurant freezer and shot and killed five and wounded two during a robbery.[136]
2000-12-26T05:00:00.000Z	7	0	Wakefield, Massachusetts	Wakefield massacre: Michael McDermott, an application support employee, shot and killed seven co-workers.
2001-01-10T05:00:00.000Z	3	2	Nevada County, California	Nevada County shooting: The perpetrator opened fire with a semi-automatic pistol in two separate areas and killed three people and injured two others, before he returned home and confessed to the incidents via telephone to his brother, a Sacramento County Sheriff's Deputy.[135]
2001-03-05T05:00:00.000Z	2	13	Santee, California	Santana High School shooting: A 15-year-old student entered a boys bathroom and shot another student then left and began to fire widely, another student was killed and thirteen were injured.[134]
2002-01-16T05:00:00.000Z	3	3	Grundy, Virginia	Appalachian School of Law shooting: A former student opened fire after a meeting with a professor in the offices of the dean of students and a professor, killing them and a student and injured three other students before he was subdued by a Marine veteran.[133]
2002-02-16T05:00:00.000Z	17	10	Maryland, Virginia, Washington DC, and Arizona	DC Sniper Attacks: Over ten months the two perpetrators killed seventeen people and injured ten others in robberies and sniper attacks in the Baltimore-Washington Metropolitan area and along Interstate I-95.
2002-07-04T04:00:00.000Z	3	5	Los Angeles, California	Los Angeles International Airport shooting: The gunman opened fire at a line of passengers at a ticket counter, he killed two and injured five before being killed by a security officer.[132]
2003-04-14T04:00:00.000Z	1	3	New Orleans, Louisiana	John McDonogh High School shooting: Two perpetrators opened fire in the school gymnasium and killed one student and wounded three others.[131]
2003-06-14T04:00:00.000Z	1	10	Madison County, Montana	Ennis shooting: A man opened fire on a group of people outside of a bar, and then engaged in a high speed chase and shootout with law enforcement, he killed one and injured 10 including himself.[130]
2003-07-08T04:00:00.000Z	7	8	Meridian, Mississippi	Lockheed Martin shooting: A man opened fire at his workplace, killing six and wounding eight before committing suicide.[129]
2004-03-12T05:00:00.000Z	9	0	Fresno, California	Wesson family murders: A man convicted of the molestation and murders of his children and nieces shot and killed nine members of his family during a standoff over a child custody dispute.[128]
2004-11-21T05:00:00.000Z	6	2	Meteor, Wisconsin	Hunting Trip (2004): A man shot eight people while on a hunting trip in northern Wisconsin; six were killed and two were wounded.
2004-12-08T05:00:00.000Z	5	3	Columbus, Ohio	Columbus nightclub shooting: A deranged fan killed four, including musician Dimebag Darrell, and wounded three others before being killed by police.
2005-03-12T05:00:00.000Z	8	4	Brookfield, Wisconsin	Living Church of God shooting: A man shot and killed seven members of his church and wounded four others, before committing suicide in a Sheraton hotel.[127]
2005-03-21T05:00:00.000Z	10	5	Red Lake, Minnesota	Red Lake Indian Reservation shooting: A 16-year-old student killed nine people and wounded five others before committing suicide.
2005-11-20T05:00:00.000Z	0	6	Tacoma, Washington	Tacoma Mall shooting: A man attempted suicide by cop by opening fire in a shopping mall with an illegal MAK 90 semi-automatic rifle and a pistol. He injured six people and took four hostages before surrendering to a SWAT team.
2006-01-30T05:00:00.000Z	8	0	Goleta, California	Goleta postal facility shootings: A woman killed her neighbor before driving to the mail processing plant, where she shot and killed six people before committing suicide.
2006-03-25T05:00:00.000Z	7	2	Seattle, Washington	Capitol Hill massacre: A guest returned to a house party armed with a shotgun and a semiautomatic handgun. He shot indiscriminately, killing six people and injuring two, before committing suicide.
2006-07-28T04:00:00.000Z	1	6	Seattle, Washington	Seattle Jewish Federation shooting: The perpetrator forced his way into the building, repeatedly shouting that he was angry at Israel and wanted to make a statement, he killed one and injured six.[126]
2006-10-02T04:00:00.000Z	6	5	Bart Township, Lancaster County, Pennsylvania	West Nickel Mines School shooting: A man took hostages in an Amish schoolhouse, and killed five schoolgirls and injured five others before committing suicide.
2007-02-12T05:00:00.000Z	6	4	Salt Lake City, Utah	Trolley Square shooting: A man opened fire in a parking garage and shopping mall and killed five people and injured four others before being killed by police.
2007-04-16T04:00:00.000Z	33	17	Blacksburg, Virginia	Virginia Tech shooting: A 23-year-old student killed thirty-three students and teachers, and wounded seventeen others. Other people were injured attempting to escape. When police stormed the building he was in, the shooter killed himself.
2007-10-07T04:00:00.000Z	7	1	Crandon, Wisconsin	Crandon, Wisconsin, duplex shooting (2007): An off-duty sheriff's deputy entered a homecoming party at a duplex with a semiautomatic rifle and killed six people and wounded one. He killed himself later that day.
2007-12-05T05:00:00.000Z	9	6	Omaha, Nebraska	Westroads Mall shooting (2007): A 19-year old killed eight people and wounded four in a Von Maur department store at the Westroads Mall before committing suicide.
2007-12-09T05:00:00.000Z	5	5	Arvada, and Colorado Springs, Colorado	Youth with a Mission and New Life Church shooting: A man stormed a dormitory at the Youth With A Mission organization in Arvada, Colorado before driving to Colorado Springs and attacking the New Life Church. He killed four people and wounded five others before committing suicide.
2008-02-02T05:00:00.000Z	5	1	Tinley Park, Illinois	Lane Bryant shooting: Four customers and the clothing store manager were killed and a part-time employee was injured in a robbery gone awry.[125]
2008-02-07T05:00:00.000Z	7	1	Kirkwood, Missouri	Kirkwood City Council shooting: A man opened fire during a public city council meeting, killing six people and injuring one other before being shot and killed by police.[124]
2008-02-08T05:00:00.000Z	3	0	Baton Rouge, Louisiana	Louisiana Technical College shooting: At around 8:30 a.m. 23-year-old Latina Williams entered her nursing class on the second-floor of a building on the campus of Louisiana Technical College, in Baton Rouge. She opened fire after entering, shooting six rounds, then reloading and committing suicide by shooting herself in the head. Two students were killed in the shooting. The shooting was random and not targeted. Police investigation found evidence she was exhibiting signs of paranoia and losing touch with reality. In the time before the shooting, Williams had also been living out of her car, had given away or sold all of her possessions, and had called a suicide hotline earlier that morning and had said her intention of committing suicide. [121] [122] [123]
2008-02-14T05:00:00.000Z	6	21	DeKalb, Illinois	Northern Illinois University shooting: A former graduate student entered a lecture hall and opened fire, killing five people and wounding twenty-one before committing suicide.
2008-09-02T04:00:00.000Z	6	2	Skagit County, Washington	Skagit County Shooting Spree (2008): A man killed six people and wounded two others in several locations before being arrested by police.
2008-12-24T05:00:00.000Z	10	3	Covina, California	Covina massacre: A man entered his former in-laws' home armed with four handguns and a homemade flamethrower. He killed nine people and injured three before committing suicide.[120]
2009-03-10T04:00:00.000Z	11	6	Geneva, and Samson, Alabama	Geneva County massacre: A man killed ten people and wounded six others in a shooting spree before committing suicide.[119]
2009-03-29T04:00:00.000Z	8	3	Carthage, North Carolina	Carthage nursing home shooting: A man attacked the workplace of his estranged wife, killing eight people and wounding two others before being arrested.
2009-04-03T04:00:00.000Z	14	4	Binghamton, New York	New York immigration center shooting: A man shot and killed thirteen people at a civic center in Binghamton, New York before committing suicide.
2009-04-04T04:00:00.000Z	3	3	Pittsburgh, Pennsylvania	2009 Shooting of Pittsburgh Police Officers: A man opened fire on police officers responding to a domestic violence 9-1-1 call, killing three and injuring two before he was arrested.[118]
2009-08-04T04:00:00.000Z	4	9	Collier Township, Pennsylvania	Collier Township shooting: A man entered a woman's aerobics class and opened fire, killing three people and injuring nine before committing suicide.[117]
2009-11-05T05:00:00.000Z	14	33	Fort Hood, Texas	Fort Hood Military Base shooting: A U.S. army psychiatrist opened fire and killed thirteen individuals and injured 33 others.
2010-01-07T05:00:00.000Z	4	5	St. Louis, Missouri	ABB plant shooting: An employee opened fire in the parking lot of an ABB Group power plant before entering the factory. He killed three people and injured five before committing suicide.[116]
2010-01-19T05:00:00.000Z	8	0	Appomattox, Virginia	Appomattox shootings: A man shot and killed four family members and four other individuals before being apprehended by police.[115]
2010-02-12T05:00:00.000Z	3	3	Huntsville, Alabama	University of Alabama in Huntsville shooting: A biology professor opened fire on other faculty members, killing three and injuring three others, before she was arrested.
2010-04-14T04:00:00.000Z	3	0	Las Cruces, New Mexico	Delisle triple murder: A building contractor shoots three business associates that he had a legal dispute with.
2010-08-03T04:00:00.000Z	9	2	Manchester, Connecticut	Hartford Beer Distributors shooting: An employee of Hartford Distributors, a beer distribution company, was fired. In retaliation he shot and killed eight coworkers and injured two others before committing suicide.
2011-01-08T05:00:00.000Z	6	15	Tucson, Arizona	Safeway Shooting in Casas Adobes, Arizona (2011): A man killed six people and injured fifteen during an assassination attempt of U.S. Representative Gabrielle Giffords before he was tackled and arrested. Giffords was wounded in the attack but survived.
2011-07-07T04:00:00.000Z	8	2	Grand Rapids, Michigan	Grand Rapids mass murder: A man killed seven people and wounded two in a spree shooting in two homes, then took hostages in a third before committing suicide.
2011-08-07T04:00:00.000Z	8	1	Copley Township, Ohio	2011 Copley Township shooting: A man killed seven people; including a 16-year-old and an 11-year-old, and injured one between three homes before being killed by responding police.[114]
2011-09-06T04:00:00.000Z	5	7	Carson City, Nevada	Carson City IHOP shooting: A man opened fire inside and outside an IHOP, and then targeted nearby local businesses. He killed four people and injured seven before committing suicide.
2011-10-12T04:00:00.000Z	8	1	Seal Beach, California	Seal Beach shooting: A man entered his ex-wife's workplace and shot and killed eight people and injured one. He then fled the scene and was later arrested.
2011-12-16T05:00:00.000Z	3	2	Irwindale, California	Southern California Edison shooting: An employee opened fire during the workday, and killed two and wounded two others before committing suicide.[113]
2012-02-27T05:00:00.000Z	3	3	Chardon, Ohio	Chardon High School shooting: A seventeen-year-old entered Chardon High School and fired at students sitting in the cafeteria killing three and wounded three others before being arrested.
2012-04-02T04:00:00.000Z	7	3	Oakland, California	Oikos University shooting: A former student opened fire in a classroom and fatally shot seven people, leaving three wounded.
2012-05-30T04:00:00.000Z	6	1	Seattle, Washington	Seattle cafe shooting spree: A patron who had been previously thrown out of the cafe, entered and killed four people and wounded one, shortly after he killed a woman during a carjacking and then committed suicide.[112]
2012-07-20T04:00:00.000Z	12	70	Aurora, Colorado	Aurora, Colorado, movie theater shooting: James Eagan Holmes, stormed a late-night premiere of The Dark Knight Rises and shot and killed twelve people and wounded seventy others. He was sentenced to life in prison.
2012-08-05T04:00:00.000Z	7	4	Oak Creek, Wisconsin	Wisconsin Sikh temple shooting: The perpetrator, a member of the Hammerskins and various white power and neo-Nazi bands, fatally shot six people at a Sikh temple before being killed by responding police officers.
2012-08-13T04:00:00.000Z	3	4	College Station, Texas	2012 College Station shooting: The perpetrator fatally shot an officer attempting to serve him a notice to appear in court, he then injured a neighbor and engaged in a shootout with responding officers until he was killed by the officers.[111]
2012-08-24T04:00:00.000Z	2	9	New York City, New York	Empire State Building shooting: A man shot and killed a former co-worker before engaging in a shoot-out with the New York police in which nine bystanders were wounded and the perpetrator was killed.[110]
2012-09-27T04:00:00.000Z	7	2	Minneapolis, Minnesota	Accent Signage Systems shooting: A former employee entered a local sign-making business, and killed five and wounded four; two of the four later died of their wounds, the perpetrator committed suicide.[109]
2012-10-21T04:00:00.000Z	4	4	Brookfield, Wisconsin	2012 Azana Spa shootings: The perpetrator drove to his ex-wife's work place and waited until she was there to confront her and shot and killed her and two other women, and injured four others before committing suicide.[108]
2012-12-11T05:00:00.000Z	3	1	Clackamas, Oregon	Clackamas Town Center shooting: A 22-year-old opened fire at the town center wearing a hockey mask, and killed two people and injured a third before fumbling with his weapon and being unable to reload. He committed suicide in a stairwell of the location.[107]
2012-12-14T05:00:00.000Z	28	2	Newtown, Connecticut	Sandy Hook Elementary School (2012): A 20-year old killed his mother before shooting and killing twenty children and six adults at Sandy Hook Elementary School in Newtown, Connecticut. He then committed suicide.
